Term or Phrase,Date,Time,User,User Affiliation,Media Platform,Link to Post,Post Text,Screenshot,Image,Linked Media,Likes,Comments,Shares,Antisemitic (Y/N),Hateful,Violent,Offensive,Negative,Homophobic,Transphobic,Racist,Misogynistic,Xenophobic,Trope Classification,Primary Coder,Coder 2,Coder 3,Notes
Deicide,12/24/2022,,Anonymous,,Communities,https://communities.win/c/ConsumeProduct/p/16ZqKlhfOb/did-the-catholic-church-actually-change-its-teaching-on-the-jews-in-vatican-ii?-you-may-be-surprised-that-it-didn't!-read-more-here!/c/4ToiW6Jk10n,"Here, I will just copy and paste the article for you here, since you are likely too lazy to click the link:
 
 Vatican II On The Jews This next article on the Jews may be a bit controversial for some, since I know some of my audience is made up of sedevacantists and SSPXers.
 
 However, I think itâ€™s going to be an important article for our side, since the Modernists in the Catholic Church claim that Vatican II changed the Church teaching on the Jews.
 
 Moreover, if I can show that Vatican II didnâ€™t change Catholic teaching on the Jews, and I believe I can, it would advantageous for all people that call themselves Catholic to be in solidarity in this issue, would it not?
 
 So did Vatican II change the Catholic teaching on Jews? Short answer: No.
 
 Long answerâ€¦ Keep reading.
 
 Nostra Aetate is the Vatican II document that deals with the relation of the Church to non-Catholic â€œreligionsâ€.
 
 Itâ€™s a short document, and the part that deals with Jews is even shorter, so letâ€™s go through the whole thing.
 
 The part of Nostra Aetate that addresses the Jews begins in Section 4:
 
 As the sacred synod searches into the mystery of the Church, it remembers the bond that spiritually ties the people of the New Covenant to Abrahamâ€™s stock.
 
 Thus the Church of Christ acknowledges that, according to Godâ€™s saving design, the beginnings of her faith and her election are found already among the Patriarchs, Moses and the prophets. She professes that all who believe in Christ â€“ Abrahamâ€™s sons according to faith [Galatians 3:7] â€“ are included in the same Patriarchâ€™s call, and likewise that the salvation of the Church is mysteriously foreshadowed by the chosen peopleâ€™s exodus from the land of bondage. The Church, therefore, cannot forget that she received the revelation of the Old Testament through the people with whom God in His inexpressible mercy concluded the Ancient Covenant. Nor can she forget that she draws sustenance from the root of that well-cultivated olive tree onto which have been grafted the wild shoots, the Gentiles [Romans 11:17-24]. Indeed, the Church believes that by His cross Christ, Our Peace, reconciled Jews and Gentiles, making both one in Himself [Ephesians 2:14-16].
 
 The Church keeps ever in mind the words of the Apostle about his kinsmen: â€œtheirs is the sonship and the glory and the covenants and the law and the worship and the promises; theirs are the fathers and from them is the Christ according to the fleshâ€ (Rom. 9:4-5), the Son of the Virgin Mary. She also recalls that the Apostles, the Churchâ€™s main-stay and pillars, as well as most of the early disciples who proclaimed Christâ€™s Gospel to the world, sprang from the Jewish people.
 
 As Holy Scripture testifies, Jerusalem did not recognize the time of her visitation [Luke 19:44], nor did the Jews in large number, accept the Gospel; indeed not a few opposed its spreading [Romans 11:28]. Nevertheless, God holds the Jews most dear for the sake of their Fathers; He does not repent of the gifts He makes or of the calls He issues-such is the witness of the Apostle [Romans 11:28-29]. In company with the Prophets and the same Apostle, the Church awaits that day, known to God alone, on which all peoples will address the Lord in a single voice and â€œserve him shoulder to shoulderâ€ (Soph. 3:9). [Cf. Isaias (Isaiah) 66:23, Psalms 65:4, Romans 11:11-32]
 
 I think every Christian would assent to what the document is saying so far.
 
 That is to say, itâ€™s just pretty straightforward Biblical exegesis.
 
 Nostra Aetate continues:
 
 Since the spiritual patrimony common to Christians and Jews is thus so great, this sacred synod wants to foster and recommend that mutual understanding and respect which is the fruit, above all, of biblical and theological studies as well as of fraternal dialogues.
 
 This is certainly the biggest â€œchangeâ€ in Vatican II right here.
 
 Nothing substantial about the Faith changes here, but what does change is the tone.
 
 In contrast, all the previous Magisterium, as I have covered in previous sections, has an antagonistic tone.
 
 The tone of Vatican II is more â€œwelcomingâ€ and â€œniceâ€, to be charitable, but personally, I think it sounds weak and effeminate.
 
 I think the cheerleaders of Vatican II will say that the reason for this language was to make it so that we could better our relationship with the Jews, and this could lead to more conversions.
 
 However, 60 years later and we know that Vatican II hasnâ€™t lead to more people entering the Church, even after being â€œniceâ€:
 
 jews Thus, using â€œniceâ€ language hasnâ€™t really been working out for the Church, has it?
 
 However, this kind of language isnâ€™t a substantial change in the Faith anyways. Moving onâ€¦
 
 Nostra Aetate continues:
 
 True, the Jewish authorities and those who followed their lead pressed for the death of Christ [John 19:6];
 
 Yes, this is certainly what the Church has always taught.
 
 Nostra Aetate continues:
 
 still, what happened in His passion cannot be charged against all the Jews, without distinction, then alive, nor against the Jews of today.
 
 So this is where the people reading this might think there is a contradiction with previous Church teaching (Acts 7:51-52, 1 Thessalonians 2:14-15).
 
 However, there isnâ€™t. Let me explain.
 
 The Church certainly never taught that the death of Christ was charged against all Jews.
 
 On the other hand, what the Church always taught was that the death of Christ was charged against the Jews that rejected Him.
 
 So Our Lord, Blessed Mother, 11 of the 12 Apostles, His disciplesâ€¦ All Jews, and none of them committed Deicide.
 
 The vast majority of original Christians were Jews, and many Jews still convert up to this very day!
 
 Certainly, those Jews that accept Jesus Christ as the Messiah and Lord and Savior arenâ€™t guilty of Deicide.
 
 On the other hand, those Jews that reject Him are guilty of Deicide. Thus, that is the distinction!
 
 Nostra Aetate continues:
 
 Although the Church is the new people of God, the Jews should not be presented as rejected or accursed by God, as if this followed from the Holy Scriptures.
 
 So this would again seem to contradict previous Church teaching (Matthew 27:25).
 
 But it doesnâ€™t. Let me explain. God never rejected or cursed the Jews! It was, in fact, quite the opposite!
 
 The Jews cursed themselves in Matthew 27:25 because they rejected Christ.
 
 Above all, Romans 11 is key to understanding what the Church has always taught about the Jews.
 
 The Jews certainly rejected Christ and cursed themselves, breaking themselves off of Godâ€™s Covenant with them (Romans 11:20).
 
 But this is all of their own doing. God has always kept the door opened for them to come back (Romans 11:23).
 
 Therefore, all the Jews have to do is accept Jesus Christ as their Messiah, Lord and Savior to be back in the Covenant with God. Moving onâ€¦
 
 Nostra Aetate continues:
 
 All should see to it, then, that in catechetical work or in the preaching of the word of God they do not teach anything that does not conform to the truth of the Gospel and the spirit of Christ.
 
 Agreed. On this site, I am certainly all about teaching the truth of the Gospel and the spirit of Christ. Moving onâ€¦
 
 Nostra Aetate continues:
 
 Furthermore, in her rejection of every persecution against any man, the Church, mindful of the patrimony she shares with the Jews and moved not by political reasons but by the Gospelâ€™s spiritual love, decries hatred, persecutions, displays of anti-Semitism, directed against Jews at any time and by anyone.
 
 Ughâ€¦ I most certainly hate the word â€œantisemitismâ€ because the Jews always use it today to refer to the act of criticizing them.
 
 Of course, criticizing the Jews cannot be what the Church means here because Christ criticized them (John 8:44, Revelation 2:9, Revelation 3:9).
 
 And we know Christ is without sin (1 Peter 2:22). Therefore, criticizing the Jews is okay.
 
 So after looking at the context of what Nostra Aetate is talking about, it is clear that it is condemning hatred against the Jews.
 
 We also know that the Church teaches that hatred is the willing of the bad towards another.
 
 Moreover, Christ condemns hatred, even of our enemies (Luke 6:27-28).
 
 Moreover, the Church has always taught through Sicut Judaeis to never harm the Jews.
 
 Thus, this is still consistent with Catholic Tradition. Moving onâ€¦
 
 Nostra Aetate concludes its section on the Jews with:
 
 Besides, as the Church has always held and holds now, Christ underwent His passion and death freely, because of the sins of men and out of infinite love, in order that all may reach salvation. It is, therefore, the burden of the Churchâ€™s preaching to proclaim the cross of Christ as the sign of Godâ€™s all-embracing love and as the fountain from which every grace flows.
 
 Amen! I certainly donâ€™t think any Christian will argue with this part, at all.
 
 Thus, it is clear that Vatican II did not change the Church teachings on the Jews (whether you assent to Vatican II or not).
 
 However, I wonâ€™t deny that Modernists, like Cardinal Bea, conspired with the Jews to try to change Church teaching.
 
 But they failed miserably, thanks be to God!
 
 For more information on the Jewish conspiracy involving Vatican II, read The Plot Against the Church.
 
 And after this article, I certainly hope that all that call themselves Catholics, be they Novus Ordo, Eastern Rite, Latin Mass, SSPXers, sedevacantists, or whatever, can stand in solidarity on this issue!
 
 Stay tuned for Part 13 of this series, where we will go over what the Jews have done to receive so much condemnation from the Church.
 
 In conclusion, I will leave you with this quote from Our Lord:",Deicide_03,,,,,,N,0.328,0.152,0.435,0.382,0,0,0,0,0,,coder 1,,coder 3 ,
Deicide,1/16/2023,,Anonymous,,Communities,https://communities.win/c/ConsumeProduct/p/16Zqrcf5wX/dual-covenant-theology-is-erroneous-and-anti-biblical.-the-new-testament-refutes-this-error-several-times./c/4TpzCGvxI2z,"What Nostra Aetate is talking about is the Jewish race, not adherents to Judaism. All adherents to rabbinical Judaism are accursed and guilty of Deicide, since they reject Christ. All non-religious Jews are also accursed and guilty of Deicide, since they still reject Christ (and the God of Abraham entirely). However, people of Hebrew blood, and this includes stock of the line of Judah, these people that accept Christ are not accursed or guilty of Deicide. Christ, His Mother, foster Father, and many of His followers were of the line of Judah, and some of His followers were in the nation of Judea, even though they belonged to other tribes. 
 
 I went into more of this in this article... Have you read it?
 
 https://thecatholicstate.com/ethnicity-race-and-ethno-religion-in-regards-to-the-jews/",Deicide_04,,,0,12,0,N,0.419,0.11,0.442,0.961,0,0,0,0,0,,coder 1,,coder 3 ,
Deicide,12/16/2022,,Anonymous,,Minds,https://www.minds.com/newsfeed/1450410980063318020,"Couple things I should let folks know about:Most of my serials are limited. As in I have an ending and a general story arc planned for them, and they're gonna get to it eventually. Some will take longer than others.But there is actually one I've set up to be basically endless, made to end whenever the fuck I feel like it. That's the ""Conan like"" you might've seen me mention, it's called ""Deicide"".I'd also like to note that while I'm keeping Hammerhead and Chronomancer very close to the chest, I've actually extended offers to writers I know to write chapters for Battlemage and Deicide. So be prepared for not every chapter of those to be written by me specifically, just directed by me. Stuff like this is why I made a company to brand my stories with.",Deicide_05,,,2,0,0,N,0.219,0.154,0.464,0.713,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,1/16/2023,,Anonymous,,Communities,https://communities.win/c/ConsumeProduct/p/16Zqrcf5wX/dual-covenant-theology-is-erroneous-and-anti-biblical.-the-new-testament-refutes-this-error-several-times./c/4TpzCGupio1,"I already went over that in article 12 on the Jews. They said ""WITHOUT DISTINCTION"" in Nostra Aetate. That phrase is KEY. The question you should ask is: What is the distinction? Simple. The distinction is that the Jews that reject Christ are cursed for Deicide, and the Jews that accept Christ (the 12 Apostles, St. Paul, St. Stephen, most of the original Disciples, and any SINCERE Jewish convert) are NOT accursed and guilty of Deicide. If that one phrase wasn't there, then I would say they are promoting heresy. But thanks be to God, the Holy Spirit protected us from the Modernists that tried to destroy our Church. Alleluia!",Deicide_06,,,0,12,0,N,0.334,0.073,0.46,0.423,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,12/27/2022,,Anonymous,,Mastodon,https://puto.gspot.lol/@g_love/109583526710308387,Now shit is getting real between the headphones! ðŸ¤˜ðŸ˜ŽðŸ¤˜ ðŸ’€ðŸ’€ðŸ’€#deicide #deathmetal #florida,Deicide_07,https://files.mastodon.social/cache/media_attachments/files/109/583/526/879/628/781/original/22dc2231232cd81f.png,https://files.mastodon.social/cache/media_attachments/files/109/583/526/879/628/781/original/22dc2231232cd81f.png,,,,N,0.225,0.676,0.486,0.961,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,01/01/23,,Anonymous,,Mastodon,https://c.im/@ruralgloom/109615052900893423,"@ArdeeWNC We were closer to the folk punk heard via Gainesville like early Against Me! But did make 90s road trips to see Morbid Angel, Deicide, and Obituary. Tampa was METAL back then.",Deicide_08,,,1,0,0,N,0.209,0.096,0.493,0.257,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,01/10/23,,Anonymous,,Mastodon,https://babka.social/@emilyk/109666583680691229,"@doctorjaymarie @seldo I hear this talking point a lot. Although I agree with it in part, the Holocaust wouldn't have happened if Christian Europe hadn't been priming its entire population to hate us for 1500 years. If there had been no Christian blood libel/Deicide libel, there would be no Holocaust.Russia's ""Protocols"" weren't inspired by anti-Black racism.",Deicide_09,,,6,0,0,N,0.279,0.106,0.489,0.266,0,0,0,0,0,"4,5",coder 1,coder 2,coder 3 ,
Deicide,1/20/2023,,Anonymous,,Mastodon,https://mastodon.social/@TheMetalDog/109723940269677982,"#TheMetalDogArticleList #loudersoundThe 10 greatest old school #deathmetal vocalists#Obituary frontman #JohnTardy says these are death metalâ€™s Hall Of Fame singers, and who are we to arguehttps://www.loudersound.com/features/the-10-greatest-old-school-death-metal-vocalists#Cronos #Venom #TomGWarrior #CelticFrost #Quothorn #Bathory #ChuckSchuldiner #Death #GlenBenton #Deicide #JeffBecerra #Possessed #DarrenTravis #Sadus #MaxCavalera #Sepultura #LGPetrov #Entombed #JeffWalker #Carcass",Deicide_10,https://files.mastodon.social/media_attachments/files/109/723/932/431/811/786/original/dabd6c71a5d1f2c5.png ,https://files.mastodon.social/media_attachments/files/109/723/932/431/811/786/original/dabd6c71a5d1f2c5.png,2,0,1,N,0.309,0.401,0.492,0.573,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,12/03/22,,Anonymous,,Telegram,https://t.me/CodezVII/3863,">>> HOW CAN THE JEWS who oppose their own Messiah, Jesus Christ, be the â€œChosen People?â€ Did not St Paul, the Hebrew of Hebrews, say that the Jews are the enemies of the Cross? (Philippians 3) >>> When St Paul said, â€œThe Jews killed the Lord Jesus and their own prophets; they please not God but are contrary to all men: Forbidding us to preach the Gospel to the Gentiles that they might be saved, to fill up their sins away: for the wrath of God is come unto them to the uttermost,â€ did he not make it crystal clear that the Jews are not the â€œChosen People?â€ >>> And did not Jesus Christ Himself reveal that the Jews are of the Synagogue of Satan? (Revelations 2). Jesus Christ also revealed that the Jews are not true Jews when He said to the Christians of Asia Minor, I will make them who say they are Jews but are not, but do lie, to come and worship before thy feet. (Revelations 3). >>> How then can the so-called Jews who are now the enemies of the Cross and of the Synagogue of Satan, and who must worship at the feet of Christians, be the â€œChosen People?â€ >>> Jesus Christ the Messiah of Israel denounced the Jews for rejecting Him when He said, Behold your house is left unto you desolate. And you shall not see Me until you say, Blessed is He Who cometh in the name of the Lord. (Matthew 23) How then can the Jews whose house is now desolate be the â€œChosen People?â€ >>> How then can the Jews whose house is now desolate be the â€œChosen People?â€ When the Jews cast in their teeth that they were the seed of Abraham, Jesus replied, â€œYou are of your father of the devil who was a murderer from the beginning.â€ (John 8). >>> Indeed the Jews committed the crime of all crimes, namely, Deicide, when they brought Jesus Christ to Pontius Pilate demanding that Jesus Christ be crucified even when Pilate judged Christ innocent and desired to set Him free. (Matthew 27). >>> How then can the Jews, whose father is the devil, and they being murderers like the devil himself by crucifying the Lord of Glory, be the â€œChosen People?â€ >>> DID NOT JESUS CHRIST say, â€œWoe unto you, scribes and Pharisees! For you compass sea and land to make one proselyte. And when he is made, you make him twofold more the child of hell than yourselves?â€ (Matthew 23). >>> Even secular Jews defer to the rabbis as their leaders when it comes to interpreting Jewish dogma. How then can the Jews who are children of hell be the â€œChosen People?â€ >>> How could the Jews to whom Jesus Christ said, Because you do not believe, you are not of my sheep be the â€œChosen People?â€ (John 10). For to this day the majority of the Jews do not believe in Jesus Christ. What then is their â€œchosen-nessâ€ if they are not of the Messiahâ€™s sheep? >>> St John the apostle said, â€œMany deceivers are gone out into the world who deny that Jesus Christ has come in the flesh. This is a deceiver and Anti-Christ.â€ (II John 1). How then can the Jews who to this day deny that Jesus Christ the eternal Son of God became man for our salvation be the â€œChosen People?â€ Will we be â€œdeceivedâ€ by the Jews that they are the Chosen People? What then is the Jewsâ€™ â€œchosen-ness?â€ >>> In the book of Revelations it is written: But the fearful and the unbelieving and the liars shall have their part in the lake which burneth with fire. This is the second death. 1. The Jews are fearful of death. 2. They do not believe in the God of the Bible but in the god of the Talmud. 3. The Jews are liars. For they say that they are Godâ€™s chosen people when God says that they are an â€œaccursed peopleâ€ because of their sins. (Isaiah 66:20). Thus the only â€œchosen-nessâ€ of the Jews is their being chosen to experience the â€œsecond death,â€ that is, the â€œlake of fire.â€ >>> MOSES, whom the Jews boast as being their hero pronounced a blessing and a curse on the Jews. God, said Moses, would bless the Jews if they showed their love for Him by accepting the â€œProphetâ€ Whose teachings would be required of the Jews. (Deuteronomy 13). >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Subscribe: https://t.me/CodezVII >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>",Deicide_11,,,N/A,N/A,N/A,Y,0.329,0.438,0.46,0.952,0,0,0,0,0,"3,4,5,6",coder 1,coder 2,coder 3 ,New Trope Possibility: Jews are the Children of the Devil/ Jews Children are Devil
Deicide,12/03/22,,Anonymous,,Telegram,https://t.me/Smiley369/23712,">>> HOW CAN THE JEWS who oppose their own Messiah, Jesus Christ, be the â€œChosen People?â€ Did not St Paul, the Hebrew of Hebrews, say that the Jews are the enemies of the Cross? (Philippians 3) >>> When St Paul said, â€œThe Jews killed the Lord Jesus and their own prophets; they please not God but are contrary to all men: Forbidding us to preach the Gospel to the Gentiles that they might be saved, to fill up their sins away: for the wrath of God is come unto them to the uttermost,â€ did he not make it crystal clear that the Jews are not the â€œChosen People?â€ >>> And did not Jesus Christ Himself reveal that the Jews are of the Synagogue of Satan? (Revelations 2). Jesus Christ also revealed that the Jews are not true Jews when He said to the Christians of Asia Minor, I will make them who say they are Jews but are not, but do lie, to come and worship before thy feet. (Revelations 3). >>> How then can the so-called Jews who are now the enemies of the Cross and of the Synagogue of Satan, and who must worship at the feet of Christians, be the â€œChosen People?â€ >>> Jesus Christ the Messiah of Israel denounced the Jews for rejecting Him when He said, Behold your house is left unto you desolate. And you shall not see Me until you say, Blessed is He Who cometh in the name of the Lord. (Matthew 23) How then can the Jews whose house is now desolate be the â€œChosen People?â€ >>> How then can the Jews whose house is now desolate be the â€œChosen People?â€ When the Jews cast in their teeth that they were the seed of Abraham, Jesus replied, â€œYou are of your father of the devil who was a murderer from the beginning.â€ (John 8). >>> Indeed the Jews committed the crime of all crimes, namely, Deicide, when they brought Jesus Christ to Pontius Pilate demanding that Jesus Christ be crucified even when Pilate judged Christ innocent and desired to set Him free. (Matthew 27). >>> How then can the Jews, whose father is the devil, and they being murderers like the devil himself by crucifying the Lord of Glory, be the â€œChosen People?â€ >>> DID NOT JESUS CHRIST say, â€œWoe unto you, scribes and Pharisees! For you compass sea and land to make one proselyte. And when he is made, you make him twofold more the child of hell than yourselves?â€ (Matthew 23). >>> Even secular Jews defer to the rabbis as their leaders when it comes to interpreting Jewish dogma. How then can the Jews who are children of hell be the â€œChosen People?â€ >>> How could the Jews to whom Jesus Christ said, Because you do not believe, you are not of my sheep be the â€œChosen People?â€ (John 10). For to this day the majority of the Jews do not believe in Jesus Christ. What then is their â€œchosen-nessâ€ if they are not of the Messiahâ€™s sheep? >>> St John the apostle said, â€œMany deceivers are gone out into the world who deny that Jesus Christ has come in the flesh. This is a deceiver and Anti-Christ.â€ (II John 1). How then can the Jews who to this day deny that Jesus Christ the eternal Son of God became man for our salvation be the â€œChosen People?â€ Will we be â€œdeceivedâ€ by the Jews that they are the Chosen People? What then is the Jewsâ€™ â€œchosen-ness?â€ >>> In the book of Revelations it is written: But the fearful and the unbelieving and the liars shall have their part in the lake which burneth with fire. This is the second death. 1. The Jews are fearful of death. 2. They do not believe in the God of the Bible but in the god of the Talmud. 3. The Jews are liars. For they say that they are Godâ€™s chosen people when God says that they are an â€œaccursed peopleâ€ because of their sins. (Isaiah 66:20). Thus the only â€œchosen-nessâ€ of the Jews is their being chosen to experience the â€œsecond death,â€ that is, the â€œlake of fire.â€ >>> MOSES, whom the Jews boast as being their hero pronounced a blessing and a curse on the Jews. God, said Moses, would bless the Jews if they showed their love for Him by accepting the â€œProphetâ€ Whose teachings would be required of the Jews. (Deuteronomy 13). >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Subscribe: https://t.me/CodezVII >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>",Deicide_12,,,N/A,N/A,N/A,Y,0.329,0.438,0.46,0.952,0,0,0,0,0,"3,4,5,6",coder 1,coder 2,coder 3 ,
Deicide,01/07/23,,Anonymous,,Minds,https://www.minds.com/newsfeed/1458401771792633872,"Some new TAPES and a few fanzines were added to the webshop !Last distro news:BITCHEATER (Jap) Worship of satan Tape. Old school heavy/ Black/ Hard rock. With members of Gorgon, Abigail, Magnesium... DEADSPEAK (Hol) Dissolve the dreams Demo tape. Death thrashFERUM (Ita) Asunder/ Erode Tape. Death doom. Sounds like a mix of Cianide, Bolt thrower, doomy Asphyx, Sorrow... (With members of Undead creep, Saturnine... )HELL'S CELLAR (Fin) Shit happens!!!! Tape. Fast punk hardcore with grindcore touches. Contains two demo from early 00's.SEKKUSU (Usa) SatyrÃ¶mania Tape. Old school thrash/ Old thrashing punk hardcore. (Members of Demon bitch, Sewercide)Fanzines:TOUGH RIFFS Zine (Fra) issue 4: Autopsy, Immolation, Obituary, Undergang, Wombbath, Ceremony, Putrid pile, Beheaded, Acrostichon, Brodequin, Carnal tomb, Rude, Church of disgust, Skeletal remains, Deicide special...52 pages. A4. In english. 2017.R'LYEH Zine (Pol) issue 12: Mystifier, Impaled nazarene, Esoteric; Acheron, Incantation, Sadistik exekution, Headhunter dc, Deceased, James Murphy, Varathron, Sadistic intent, Outrage, Ill disposed, Angel corpse, Necrophobic, Necromantical screams, Katechon, Equinox, Druid lord, Pestifer, Moonstraat, Zemial, Sinistrous diabolous, Hazael, Strumtiger...124 pages. A4. In polish. 2015.https://nihilistic-webzine-distro.fr/Webshop/fr/24-newsSTILL AVAILABLE:HAMMER OF GORE (Ger) Beheaded and stuffed with Feces Demo tape. Old school death, sounds like a mix of old Grave, Asphyx, Bolt thrower.MURGE (Swi) Murge MCD. Between old death metal and death grind, with an HM2 almost swedish sound. (With member of Burning flesh)SPERMOGOAT (Ecuador) Impure goat worship Demo tape. Old school black death/ black thrash in the 80's/ very early 90's tradition, sounds like a mixture of old Sarcofago, Death invoker, very early Sodom, perhaps Saram...VAYRON (Fra) Demo 2022 Tape. Old school death metal with influences of old brutal death. (Members of Silure)VOORHEES (Fra) Chapter two & a half Tape. Death metal/ Old school deathEMPIRE OF THE SCOURGED (Hol) Transcend into oblivion MCD. Death metal/ Brutal death with elements of industrial. (Member of Houwitser)https://nihilistic-webzine-distro.fr/Webshop/fr/24-news",Deicide_13,https://nihilistic-webzine-distro.fr/Webshop/2390-home_default/vayron-fra-demo-2022-tape.jpg,https://nihilistic-webzine-distro.fr/Webshop/2390-home_default/vayron-fra-demo-2022-tape.jpg,0,0,0,N,0.357,0.373,0.456,0.947,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,12/12/22,,Anonymous,,4chan,https://boards.4chan.org/pol/thread/408089621#p408089621,"Did Jesus came to his own?>yesBut his own did not receive him?>that is correctSo Jews killed Jesus?>yesSo Jesus was Jewish?>no, Jews are not the Jews of the Bible So how did Jews commit deicide if they are not the Jews from the Bible?>hurr durr",Deicide_14,http://i.4cdn.org/pol/+_ef337ec7af16d7e208f326b52f69ccfc.png,http://i.4cdn.org/pol/+_ef337ec7af16d7e208f326b52f69ccfc.png,N/A,N/A,N/A,Y,0.244,0.205,0.433,0.951,0,0,0,0,0,4,coder 1,coder 2,coder 3 ,
Deicide,12/12/22,,Anonymous,,Communities,https://communities.win/c/Christianity/p/16ZXMBos59/what-does-the-catholic-church-actually-teach-about-the-jews?-what-does-the-bible-say?-what-do-the-saints-say?-click-here-to-find-out!/c/4TohH7lNrkc,"Deicide: loaded word, needs formal definition.
 
 Supersessionism: I disagree, but it's not a central issue. Assuming the torn curtain means breaking of a covenant, rather than *unveiling* of a hidden aspect of the old covenant in the new (who does these things shall live, namely Jesus), is unwarranted. Paul says he is still under law to Christ. Into what were the Gentiles replaced, if not the Jewish tree with its Jewish roots and the new believers' fellow Messianic Jews?
 
 For Ambrose to say Jesus deserted the barque of Moses would contradict Jesus's statement that he would fulfill, not abolish, Moses's law. Chrysostom speaks even stronger about this and is not a reliable witness about the OT.
 
 Pius V gets a little credit but we should not use the modern definition of ""synagogue of Satan"" just because he expands on Jesus's words a little. He clearly limits that meaning to those who practice incantation, witchcraft, and fortunetelling, which is a fair metaphor completely unlike the modern usage.
 
 Pius XII I look at closer because I can't agree on the face with ""Jesus made void the law"" and he is not explaining the correct meaning of ""handwriting"", which is a technical term that might be translated debt-writ rather than referred nebulously to part or all of the OT. He cites only Eph. 2:14-16, but the subject of ""abolish"" there is ""enmity"", not Law, and its relation to the Law is left unstated by Paul. Thus we would conclude that between Paul and Pius the ""voiding"" of the Law is not direct nor absolute but means the indirect voiding of its power to create enmity by its judgments. In Hebrews too there is nothing at all there about voiding the law, only about making it old by comparison. Paul's many other statements show he did not consider the entire Torah void in all ways by any means.
 
 Gittin 57a is an anachronistic *joke* about someone named ""Yeshu"" that was never taken by its audience as a theological statement at all. I've recently replied to the meme version of these assertions and as given they are so distorted as to be unfruitful for improving understanding at all on either side.
 
 So, again, the series is showing some promise but can still overbalance the situation for some readers. I respect that you've acknowledged my concerns and am working to keep them in mind. I'd have a little interest in writing for you but I don't know if you want any contribs because you don't explain the difference between ""Protestant-Heretics [/] Eastern Heterodox"" and separated brethren.",Deicide_15,,,0,4,N/A,N,0.326,0.146,0.448,0.968,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,12/12/22,,Anonymous,,Communities,https://communities.win/c/Christianity/p/16ZXMBos59/what-does-the-catholic-church-actually-teach-about-the-jews?-what-does-the-bible-say?-what-do-the-saints-say?-click-here-to-find-out!/c/4TohH7mX5DV,"Deicide was in the previous article (part 2) and it was clearly defined there.
 
 Supersessionism is what Catholics believe and what the majority of Christians believe (and have believed) for the last 2000 years. If you don't believe in supersessionism then I demonstrated that Scripture teaches this much more thoroughly in this article:
 
 https://thecatholicstate.com/seventh-day-adventism-is-not-consistent-with-the-bible/#Seventh_Day_Adventism_Practices_The_Sabbath_Because_It_Denies_The_Old_Covenant_Is_Superseded
 
 ""Fulfill"" means to complete. If something is completed and another things takes it's place, then the first thing is not active, it's inactive. In other words, it's abolished. And it doesn't contradict what Christ says because when He walked among us He didn't abolish the Old Law. Rather, He obeyed it fully. It was only upon His death that it had been ""completed"" and thus, the New Covenant began. Just read my SDA article to know more...
 
 Also, it doesn't matter if Gittin 57a is a joke about Jesus. Even joking about Jesus in such a way is blasphemous, and the link I used in my article was to a Jewish website with an english translation of the Talmud, and it was clear in that translation that they are talking about the Christian Jesus (they call Him ""Jesus the Nazarene):
 
 https://www.sefaria.org/Gittin.57a.4?lang=bi&with=all&lang2=en
 
 If it isn't clear yet, the Saints use ""Synagogue of Satan"" to mean ANY Jew that rejects Christ, which is unfortunately, the vast majority of them...",Deicide_16,,,0,2,0,N,0.355,0.164,0.431,0.967,0,0,0,0,0,,coder 1,coder 2,coder 3 ,
Deicide,1/25/2023,,Anonymous,,4chan,https://boards.4chan.org/pol/thread/413620873#p413620873,"Physiognomy doesn't lie, demons like Jonathan Greenblatt and Adam Silver reflect the Jewish soul, which bears the guilt of willingly inherited deicide (Matthew 27,25). However, as a Polish proverb says, ""With age the soul surfaces to the face"" and when this is not apparent from the face, one must give the soul a benefit of a doubt.What's your take on Jews with non-Jewish faces?",Deicide_17,http://i.4cdn.org/pol/William_Shatner.jpg,http://i.4cdn.org/pol/William_Shatner.jpg,N/A,N/A,N/A,Y,0.241,0.065,0.478,0.112,0,0,0,0,0,"2,5",coder 1,coder 2,coder 3 ,
Deicide,12/17/2022,,Anonymous,,Communities,https://communities.win/c/ConsumeProduct/p/16ZXVWtwLI/what-does-the-catholic-church-actually-teach-about-the-jews?-what-does-the-bible-say?-what-do-the-saints-say?-click-here-to-find-out!/c/4TohtO74lBy,The papacy absolves the jews of the deicide of Christ. Rome is in apostasy.,Deicide_18,,,0,2,0,Y,0.293,0.079,0.492,0.864,0,0,0,0,0,5,coder 1,coder 2,coder 3 ,
