Term or Phrase,Regular Definition,Antisemitic Definition,Related Terms,Direct or Indirect,Antisemitic Trope,Emerging Term (Y/N),Emerging Trope (Y/N),Extremism Rank,Notes,Means of Discovery,Discovery Date/Time (Emerging Only),Sources,Source Link,Social Media Site
New World Order,"the conspiracy of a small group of powerful individuals
working in secret to establish all-powerful control ","The New World Order conspiracy theory becomes antisemitic
when it’s followed by a reference to a Jewish business leader
or political official with a secret agenda who’s seeking global
control. ",,Undetermined,,No,,,,,,American Jewish Committee,Page 19: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
"""not the real Jews""","a phrase claiming that Jews are not God’s chosen people as
outlined in the Bible ","While this phrase has been used by many throughout history,
today it is most commonly used by Black supremacists
claiming Black people—not Jews—are the true chosen people
of God. Black supremacy has roots in “Black Chosenness”—
the belief that African Americans are the descendants of the
twelve Hebrew tribes of Israel who settled across Africa after
the destruction of the Kingdom of Israel and were eventually
sold into slavery during the Atlantic slave trade. ",,Direct,,No,,,,,,American Jewish Committee,Page 20: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Poisoning the well,"a smear tactic in which an opponent introduces negative
information about their adversaries in order to discredit them.
The term derives from the ancient war tactic of poisoning an
opponent’s water to diminish his strength ","“Poisoning the well,” an accusation rooted in the 14th century
Bubonic Plague, blames Jews for purposefully spreading
disease. As the Black Death spread across Europe, Jews were accused of spreading the infection through common drinking wells. Thousands of innocent Jews were murdered in response.This trope can be found on all sides of the political spectrum—from Adolf Hitler’s Mein Kampf, which accused Jews of being “vermin” and spreading bacteria, to Nation of Islam leader Louis Farrakhan’s diatribes labeling Jews as “termites” also spreading disease. During the COVID-19 pandemic, Jews were blamed by alternative figures on various far-right fringe platforms for creating and/or purposefully spreading COVID-19.
This trope reached a more mainstream audience on the far-left, where political cartoons and statements were made saying Israel (or “Zionists”) created COVID-19 in order to hurt the Palestinians and/or profit off the vaccine. ",,Indirect,,No,,,,,,American Jewish Committee,Page 20: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Protocols of the Elders of Zion,"a fraudulent document attributed to the secret police of
Tsarist Russia, first disseminated in the early 20th century and
still circulated today, that serves as a pretext and rationale for
antisemitism ","Protocols of the Elders of Zion—written by the Russian secret
police in early 20th century—incorporates much of what we
know to be classic antisemitic themes and supports the trope
that Jews seek world domination, using their ""invisible hand""
to enslave the rest of mankind. ",,Direct,,No,,,,,,American Jewish Committee,Page 21: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
QAnon,"a loosely organized, far-right network of people who
believe the world is controlled by a satanic cabal of
pedophiles and cannibals, made up of politicians (mostly
Democrats), mainstream media, journalists, and Hollywood
entertainers. This cabal is accused of controlling a “deepstate” government whose purpose is to undermine and attack President Donald Trump and his supporters","Antisemitic conspiracy theories about Jewish elites, globalists,
and bankers are part and parcel of the QAnon belief system,
and George Soros and the Rothschilds are consistent
targets (see Soros, Rothschild). The use of children in the
conspiracy—the need to rescue children from the hands of
the powerful globalists—harkens back to medieval blood libel
accusations against Jews (see blood libel).",,Direct,,Yes,,,,,,American Jewish Committee,Page 22: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Rothschild,"a wealthy Jewish family whose banking business dates back
to the 18th century Holy Roman Empire","The Rothschilds are a Jewish banking family who have been
accused of secretly controlling the economy, manipulating the
weather, and profiting from wars. “Rothschild” has become a
generic term for greedy and manipulative Jewish billionaires
(see Jewish figures, greed)",,Indirect,,No,,,,,,American Jewish Committee,Page 22: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Satan,"also known as the Devil, Satan is the Western personification
of evil. Within Christianity, Satan is also referred to as the
tempter, the ruler of demons, and the father of lies","Today Jews, and the Jewish State, continue to be cast as
Satan, demons, vampires, or other demonic figures. Like the
deicide charge, antisemitic elements from Christian tradition
have been recycled in the Muslim world (see deicide charge).
Israel is demonized and, like the devil, viewed as the “source
of evil” in the world. The Islamic Republic of Iran openly calls
for Israel’s destruction and refers to the country as the “Little
Satan.” Louis Farrakhan has come under fire for ranting about
“unmasking the satanic Jew and the synagogue of satan.”",,Direct,,No,,,,,,American Jewish Committee,Page 23: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Scapegoat,one that bears the blame for others,"Antisemites have been using Jews as “scapegoats” for thousands of years, blaming them for deicide, the murder of Christ, and even the Bubonic plague in the Middle Ages (see deicide, Figure D2).",,Indirect,,No,,,,,,American Jewish Committee,Page 24: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Silencing,prohibit or prevent from speaking,"One of the longest standing antisemitic attacks leveled
against Jews is the “silencing” of their opponents. The false
claim that Jews deem any criticism of Israel or the Jewish
people as antisemitic, and wield the power of the antisemitic
label to silence the opposition, is offensive and dangerous
for productive discourse. The idea of “silencing” speech plays
into the commonly used trope of “Jewish control” with the
false accusation that all discourse that criticizes the policies
of Israel should cease to exist in order for the State of Israel to
remain powerful.",,Indirect,,No,,,,,,American Jewish Committee,Page 24: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Slavery/ slave trade,"the practice of owning slaves, people who are forced to work
with little or no pay and are denied physical freedom or the
opportunity to leave","The claim that Jews controlled or made up a significant
portion of the Atlantic Slave Trade is false",,Indirect,,undetermined,,,,,,American Jewish Committee,Page 25: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Smirking merchant,an antisemitic cartoon portraying a Jew based on stereotypes and tropes,"As the most popular antisemitic image online, the smirking
merchant is also used to symbolize both traditional and
modern-day tropes, including Jewish control over the world,
Jewish greed, Holocaust denial, and a general blame for white
supremacy hot topics like “race-mixing,” feminism, and the
LGBTQ community. ",,Direct,,No,,,,,,American Jewish Committee,Page 25: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Soros," refers to Hungarian-born Holocaust survivor George Soros,
a billionaire philanthropist, who was born Jewish, and
champions liberal and progressive causes","George Soros is vilified in some quarters of the world (and
revered in others) for supporting progressive causes such as
immigration and criminal justice reform. In the U.S., George
Soros has been charged by the far-right with funding Black
Lives Matter protests and migrant caravans to the southern U.S.
border. He is also the namesake of the anti-migrant legislation
in his native Hungary (the so-called “Stop Soros law,” which
criminalizes aiding migrants).
Criticizing Soros or his politics and actions is not antisemitic.
Indeed, those who have suggested that any criticism is
antisemitic do real disservice to the cause of fighting Jewhatred. However, when Soros is used as a symbol for Jewish
control, wealth, and power, the criticism may be an updated
version of traditional antisemitic tropes (see conspiracy
theory, control, Jewish figures).",,Undetermined,,undetermined,,,,,,American Jewish Committee,Page 26: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
"""Zionism is racism""","refers to United Nations Resolution 3379 in 1975, in which the
General Assembly linked Zionism and the State of Israel, to
racism and racial discrimination. This was overturned in 1991
making it one of only two resolutions ever revoked by the UN","Criticizing specific Israeli government policies as discriminatory
or racist is not antisemitic. However, saying “Zionism is
racism,” a phrase which itself is a racist and religious distortion,
conveys that the Jewish people—unlike all other people in the
world—do not have a right to self-determination. The phrase
also denigrates the Jewish State and belittles the diversity
of Jewish life in Israel. Famed Soviet Nobel Peace Laureate
Andrei Sakharov warned that this resolution would “contribute
to antisemitic tendencies in many countries by giving them the
appearance of international legality.” ",,Direct,,Undetermined,,,,,,American Jewish Committee,Page 26: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Zionist / “Zio”,"a supporter of Zionism; a person who believes in the
development and protection of a Jewish nation in its historic
homeland of Israel","antisemites often use “Zionist” or “Zio” as
shorthand for “Jew,” while many antisemites attempt to cloak
their hate by claiming to be merely “anti-Zionists” (see Figure
Z3). Notably, anti-Zionism—the belief that the Jewish people
do not have the right to a national home in their ancestral
homeland (e.g. that the State of Israel should not exist)—is
itself widely believed by Jews to be a form of antisemitism.
Anti-Zionism can also spread antisemitic conspiracy theories.
For example, referring to Zionism and Judaism interchangeably
blames Jewish people for the actions and policies of the State
of Israel, which furthers conspiracy theories about control and
world domination (see Figure Z2).",,Indirect,,Undetermined,,,,,,American Jewish Committee,Page 27: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
Zionist Occupied Government (ZOG),"white supremacist belief declaring the U.S. government is
controlled by Jews","ZOG is a white supremacist theory that believes Jews
(“Zionists”) secretly control Western politics (see conspiracy
theory, control). The term first appeared in the 1970s in the
U.S. and is found on white supremacist sites such as Aryan
Nations and National Alliance. By manipulating Western
governments, antisemites claim ZOG controls the world
economy, limits free speech, confiscates land, and usurps
military and police forces. The phrase “Zionist occupiers”
is also used by antisemites on the far-left and by Islamists,
seeking to destroy Israel.",,Direct,,Undetermined,,,,,,American Jewish Committee,Page 28: https://www.ajc.org/sites/default/files/pdf/2021-02/AJC_Translate-Hate-Glossary-2021.pdf,
